cellID,x,y,depth,depth2,logslope,tpi,distance2canyons,distance2canyons2,seafloortemperature,seafloorcurrents_mean,npp_mean,seafloorsalinity
1225552,613500,2598500,-5.50328064,2.828887701,0.420843214,0.001856941,0.155507073,-0.942007244,0.601230145,0.890975654,-0.085501745,0.855091214
1225553,615500,2598500,-5.390814304,2.553180456,0.432260454,-0.051187128,0.157245815,-0.942755282,0.597349942,1.195266604,-0.073468499,0.85429734
1225554,617500,2598500,-5.24330616,2.204904795,0.440646797,0.048513584,0.159011975,-0.943509817,0.595698953,1.536296487,-0.063185088,0.85329932
1225555,619500,2598500,-5.098071098,1.876778841,0.377432376,0.115315095,0.160805255,-0.944270551,0.591212153,1.97010541,-0.05840705,0.853140593
1225556,621500,2598500,-4.976294041,1.612955451,0.253188699,0.170378655,0.1626257,-0.945037186,0.585779965,2.434840679,-0.054804243,0.853253961
1225557,623500,2598500,-4.890193462,1.432647228,0.068888403,0.297934681,0.164473087,-0.945809305,0.572062075,2.689704418,-0.065735146,0.85379833
1225558,625500,2598500,-4.87889576,1.409371257,0.038463604,0.17308864,0.166347355,-0.946586788,0.555582285,2.874611616,-0.082257621,0.854478776
1225559,627500,2598500,-4.892997742,1.43843925,-0.083797023,0.111588746,0.168248326,-0.947369039,0.542503655,2.812347889,-0.092928737,0.855136573
1225560,629500,2598500,-4.904805183,1.462883234,-0.056313209,0.443416893,0.170175806,-0.948155999,0.530558825,2.667694807,-0.101731166,0.85581702
1225561,631500,2598500,-5.070999146,1.8172369,0.260206163,-0.0374997,0.172129706,-0.948947191,0.522171438,2.357629776,-0.105550207,0.856384099
1225562,633500,2598500,-5.223556042,2.159421682,0.178586796,-0.155321568,0.174109861,-0.949742436,0.514969766,1.992427707,-0.107655101,0.856905758
1225563,635500,2598500,-5.33643198,2.423019648,-0.074235432,-0.134465113,0.176116183,-0.950541317,0.509060323,1.445773244,-0.109091319,0.856905758
1225564,637500,2598500,-5.404887676,2.587199688,-0.397644669,-0.062582858,0.178148478,-0.951343477,0.503581583,0.838634968,-0.106541567,0.856724322
1225565,639500,2598500,-5.443418026,2.681042194,-0.18895942,0.066582225,0.180206582,-0.952148616,0.500198543,0.340329528,-0.098548427,0.856746972
1225566,641500,2598500,-5.497190952,2.813734055,0.200092375,0.163162544,0.18229039,-0.952956438,0.497514129,-0.121698484,-0.093508489,0.856860399
1228885,611500,2596500,-5.438022614,2.667838573,0.391393244,0.167625248,0.148341224,-0.938869417,0.603289664,0.828101873,-0.104926907,0.854909778
1228886,613500,2596500,-5.357123375,2.472301006,0.290683419,0.021963784,0.150061131,-0.939630568,0.593111515,0.943273902,-0.096450493,0.85479635
1228887,615500,2596500,-5.259192944,2.241687298,0.298531026,-0.013394301,0.151808709,-0.940398812,0.588122129,1.07855773,-0.078214779,0.854251981
1228888,617500,2596500,-5.12941885,1.946360111,0.320364475,0.052857976,0.153583705,-0.941173613,0.584862292,1.220545411,-0.06234071,0.853594184
1228889,619500,2596500,-4.988763809,1.639496684,0.24584353,0.173727781,0.155386016,-0.941954911,0.579686582,1.400103211,-0.057541505,0.853526175
1228890,621500,2596500,-4.881465435,1.414657712,0.030127082,0.204042584,0.15721564,-0.942742288,0.573872328,1.592184186,-0.05385825,0.853684962
1228891,623500,2596500,-4.817455769,1.284340501,-0.27128309,0.191883355,0.159072235,-0.943535566,0.562464118,1.655436993,-0.061959051,0.854093194
1228892,625500,2596500,-4.785834789,1.221015215,-0.391292095,0.21899806,0.160955876,-0.944334209,0.549191296,1.675747037,-0.072751746,0.854592204
1228893,627500,2596500,-4.805447102,1.260209799,-0.28390342,0.23051995,0.16286622,-0.945138037,0.536996365,1.569487572,-0.082568817,0.855159283
1228894,629500,2596500,-4.894155502,1.440831184,0.07296823,0.155730367,0.164803252,-0.945946693,0.525160849,1.421038151,-0.091733247,0.855749011
1228895,631500,2596500,-5.025599957,1.718531847,0.255806386,0.134423673,0.166766793,-0.946759939,0.516185999,1.279035091,-0.09617196,0.856248021
1228896,633500,2596500,-5.191981316,2.08727169,0.19865118,-0.076411523,0.168756694,-0.947577238,0.508164823,1.13918066,-0.100464001,0.856746972
1228897,635500,2596500,-5.33096981,2.410060644,-0.057013299,-0.281155616,0.170772731,-0.948398471,0.50235182,0.949404418,-0.110537529,0.856837749
1228898,637500,2596500,-5.395578861,2.564683199,-0.539254844,-0.268927604,0.172814935,-0.94922322,0.497274935,0.742987335,-0.114738531,0.856792331
1228899,639500,2596500,-5.383302689,2.535080433,-0.602159619,0.080788702,0.174883127,-0.950051188,0.494187474,0.569933653,-0.098291971,0.856860399
1228900,641500,2596500,-5.386347294,2.542412281,-0.175110683,0.338032454,0.176977023,-0.950881958,0.491763204,0.408001423,-0.086591087,0.856951118
1228901,643500,2596500,-5.461239338,2.724795818,0.257169604,0.427050859,0.17909655,-0.951715231,0.490968883,0.322314709,-0.08967372,0.856973827
